epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3266,0.70943,2.58889,1.18808,0.00333,1,0.995,0.82918,0.50213,2.71525,1.03344,0.00016,0.00016,0.00016
2,18.5033,0.68249,1.9817,1.13022,0.00333,1,0.995,0.88567,0.42057,2.59093,0.98429,0.000337756,0.000337756,0.000337756
3,19.6582,0.62874,1.48178,1.07225,0.00333,1,0.98325,0.83957,0.48122,2.50278,1.01078,0.000513136,0.000513136,0.000513136
4,20.8098,0.64532,1.1735,1.1008,1,0.90484,0.99375,0.86576,0.51374,2.08328,1.06561,0.00068614,0.00068614,0.00068614
5,22.0182,0.66634,1.04217,1.1087,0.96495,1,0.992,0.82577,0.60393,2.02793,1.12821,0.000856768,0.000856768,0.000856768
6,23.1942,0.62538,0.95848,1.05214,1,0.97329,0.99029,0.79817,0.62937,2.04409,1.12866,0.00102502,0.00102502,0.00102502
7,24.3597,0.68559,0.94481,1.08015,0.98952,1,0.995,0.85537,0.57976,1.63663,1.11156,0.0011909,0.0011909,0.0011909
8,25.5196,0.68825,0.95726,1.10708,0.97101,1,0.9945,0.80858,0.64749,1.34909,1.26991,0.0013544,0.0013544,0.0013544
9,26.68,0.68244,0.95131,1.08378,0.93659,0.97436,0.97178,0.80554,0.57458,1.48193,1.15707,0.00151552,0.00151552,0.00151552
10,27.8696,0.75909,0.92892,1.12977,1,0.99912,0.995,0.83457,0.60361,1.21515,1.16243,0.00167427,0.00167427,0.00167427
11,29.0573,0.67861,0.819,1.0766,0.93976,0.97436,0.98506,0.78286,0.78757,1.76685,1.41145,0.00183064,0.00183064,0.00183064
12,30.2698,0.68921,0.78332,1.07089,0.32817,0.71795,0.33918,0.27502,0.71981,2.92245,1.56024,0.0018548,0.0018548,0.0018548
13,31.4427,0.69169,0.81142,1.11498,0.69666,0.5889,0.72185,0.46365,1.36888,2.04365,2.13787,0.0018416,0.0018416,0.0018416
14,32.5516,0.70867,0.72774,1.10391,0.32612,0.4095,0.24331,0.10929,2.2967,2.99966,3.55586,0.0018284,0.0018284,0.0018284
15,33.7608,0.63663,0.69411,1.03963,0.62957,0.5641,0.63309,0.30746,1.87408,2.49058,2.78047,0.0018152,0.0018152,0.0018152
16,34.9672,0.69831,0.75253,1.08715,1,0.96189,0.99314,0.86685,0.53197,1.11334,1.03389,0.001802,0.001802,0.001802
17,36.1726,0.63524,0.66316,1.04826,0.94996,0.97354,0.98649,0.85226,0.5041,1.02382,1.02566,0.0017888,0.0017888,0.0017888
18,37.3709,0.65486,0.67396,1.04043,0.9398,1,0.9894,0.85292,0.51038,0.97771,1.05671,0.0017756,0.0017756,0.0017756
19,38.7227,0.74263,0.66365,1.09492,0.89906,0.92308,0.97064,0.77306,0.62539,0.95548,1.11065,0.0017624,0.0017624,0.0017624
20,39.9021,0.6295,0.65853,1.04271,0.68399,0.87179,0.82103,0.60426,0.78673,1.13992,1.1927,0.0017492,0.0017492,0.0017492
21,41.097,0.62329,0.60213,1.03123,0.61563,0.79487,0.70714,0.39605,0.82689,1.5487,1.26926,0.001736,0.001736,0.001736
22,42.2692,0.60855,0.59765,1.01652,0.88719,0.92308,0.92975,0.78989,0.55582,0.88743,1.00254,0.0017228,0.0017228,0.0017228
23,43.465,0.62105,0.57671,1.03848,0.90143,0.93814,0.96924,0.75919,0.92345,0.84531,1.30694,0.0017096,0.0017096,0.0017096
24,44.6671,0.60203,0.59158,1.0391,0.92072,0.89348,0.94651,0.80844,0.56304,0.77268,1.08314,0.0016964,0.0016964,0.0016964
25,45.8527,0.61565,0.56387,1.03857,0.96298,0.87179,0.94183,0.77262,0.71341,0.73023,1.19172,0.0016832,0.0016832,0.0016832
26,47.062,0.60635,0.53785,1.02177,0.78609,0.94239,0.93087,0.71301,0.7621,1.10667,1.27024,0.00167,0.00167,0.00167
27,48.2741,0.56549,0.53363,1.0416,0.78487,0.92308,0.92056,0.69905,0.73171,1.5059,1.18303,0.0016568,0.0016568,0.0016568
28,49.4684,0.56372,0.50231,1.02043,0.94257,1,0.99125,0.87387,0.50027,0.67001,1.00928,0.0016436,0.0016436,0.0016436
29,50.645,0.59059,0.49616,1.03855,0.99655,1,0.995,0.88814,0.53354,0.44888,1.01871,0.0016304,0.0016304,0.0016304
30,51.8322,0.5835,0.4901,1.01386,0.9966,1,0.995,0.88257,0.46384,0.44123,0.98139,0.0016172,0.0016172,0.0016172
31,53.0301,0.59682,0.47899,1.02606,0.99815,1,0.995,0.85913,0.57995,0.45119,1.07557,0.001604,0.001604,0.001604
32,54.2451,0.58593,0.46486,0.99747,0.90437,0.96998,0.98448,0.88265,0.49234,0.57714,1.02507,0.0015908,0.0015908,0.0015908
33,55.4344,0.56436,0.46329,1.00059,0.94814,0.93765,0.98537,0.8534,0.54575,0.59185,1.03531,0.0015776,0.0015776,0.0015776
34,56.6261,0.55934,0.46929,0.99862,0.92326,1,0.98957,0.89531,0.4313,0.44269,0.97247,0.0015644,0.0015644,0.0015644
35,57.7918,0.53683,0.43354,0.99157,0.99445,0.97436,0.99402,0.89518,0.40439,0.41585,0.96484,0.0015512,0.0015512,0.0015512
36,58.8364,0.55677,0.44589,1.02772,0.99492,1,0.995,0.91586,0.42413,0.38071,0.94983,0.001538,0.001538,0.001538
37,59.8903,0.57433,0.46244,1.03615,0.99351,1,0.995,0.92005,0.38682,0.41646,0.94267,0.0015248,0.0015248,0.0015248
38,61.0597,0.53791,0.41982,0.99521,0.97134,1,0.9945,0.90973,0.4143,0.40749,0.94469,0.0015116,0.0015116,0.0015116
39,64.6948,0.51563,0.42417,0.98163,0.97201,1,0.9925,0.89872,0.40168,0.36654,0.94753,0.0014984,0.0014984,0.0014984
40,70.5694,0.55069,0.44689,1.00641,0.99317,1,0.995,0.91361,0.4192,0.40785,0.95593,0.0014852,0.0014852,0.0014852
41,76.5079,0.58261,0.4529,1.03425,0.99118,1,0.995,0.88059,0.43236,0.37768,0.98604,0.001472,0.001472,0.001472
42,82.0938,0.55053,0.42259,0.98448,0.99816,1,0.995,0.90456,0.42184,0.38865,0.95853,0.0014588,0.0014588,0.0014588
43,87.4977,0.55811,0.42363,1.01351,0.99901,1,0.995,0.90778,0.40368,0.35487,0.94114,0.0014456,0.0014456,0.0014456
44,92.8252,0.5433,0.39743,1.0079,0.99786,1,0.995,0.87838,0.55241,0.39414,1.04967,0.0014324,0.0014324,0.0014324
45,98.7624,0.5618,0.41058,1.02248,0.99845,1,0.995,0.9094,0.42728,0.31294,0.96279,0.0014192,0.0014192,0.0014192
46,104.568,0.52025,0.38197,0.98238,0.99841,1,0.995,0.91653,0.41964,0.3138,0.95963,0.001406,0.001406,0.001406
47,110.157,0.51389,0.37946,0.97302,0.99828,1,0.995,0.89767,0.47808,0.29974,0.99294,0.0013928,0.0013928,0.0013928
48,115.534,0.52581,0.40746,1.00724,0.98825,1,0.995,0.84394,0.56816,0.38073,1.03408,0.0013796,0.0013796,0.0013796
49,121.209,0.5555,0.40479,0.99505,0.92083,0.89477,0.96263,0.77925,0.58533,0.60136,1.05398,0.0013664,0.0013664,0.0013664
